# GENERATED by tools/genfont/mksymbols.py -- do not edit.
# Joined from lib/MicroTeX/res (vendored) and unicode-math-table.tex.
# codepoint is StaTeX's lookup key, not a claim about the character's identity;
# cp_source=pua means no Unicode codepoint names this glyph.
# unicode_math is filled in only where unicode-math-table.tex disagrees with the
# chosen codepoint. MicroTeX's tables win because they are what the existing
# atlas was built from; the column records the alternative so switching is a
# one-column edit rather than an archaeology exercise.
name	codepoint	cp_source	atomtype	takes_limits	delimiter	face	tfm_font	slot	ttf	unicode_math
backsim	0x223D	microtex	Relation	0	0	3	msam10	118	maths/msam10.ttf	
backsimeq	0x22CD	microtex	Relation	0	0	3	msam10	119	maths/msam10.ttf	
backslash	0x005C	unicode-math	Ordinary	0	1	3	cmsy10	110	maths/cmsy10.ttf	
baro	0xE00C	pua	BinaryOp	0	0	3	stmary10	43	maths/stmary10.ttf	
barwedge	0x2305	microtex	BinaryOp	0	0	3	msam10	90	maths/msam10.ttf	0x22BC
bbslash	0xE00D	pua	BinaryOp	0	0	3	stmary10	45	maths/stmary10.ttf	
because	0x2235	microtex	Relation	0	0	3	msam10	42	maths/msam10.ttf	
beta	0x03B2	microtex	Ordinary	0	0	3	cmmi10_unchanged	175	base/cmmi10.ttf	
beth	0x2136	microtex	Ordinary	0	0	3	msbm10	105	maths/msbm10.ttf	
between	0x226C	microtex	Relation	0	0	3	msam10	71	maths/msam10.ttf	
bigbox	0xE00E	pua	BigOp	1	0	3	stmary10	133	maths/stmary10.ttf	
bigcap	0x22C2	microtex	BigOp	1	0	3	cmex10	84	base/cmex10.ttf	
bigcirc	0x25EF	microtex	BinaryOp	0	0	3	cmsy10	176	maths/cmsy10.ttf	
bigcup	0x22C3	microtex	BigOp	1	0	3	cmex10	83	base/cmex10.ttf	
bigcurlyvee	0xE00F	pua	BigOp	1	0	3	stmary10	130	maths/stmary10.ttf	
bigcurlywedge	0xE010	pua	BigOp	1	0	3	stmary10	131	maths/stmary10.ttf	
biginterleave	0x2AFC	unicode-math	BigOp	1	0	3	stmary10	135	maths/stmary10.ttf	
bignplus	0xE011	pua	BigOp	1	0	3	stmary10	136	maths/stmary10.ttf	
bigodot	0x2A00	microtex	BigOp	1	0	3	cmex10	74	base/cmex10.ttf	
bigoplus	0x2A01	microtex	BigOp	1	0	3	cmex10	76	base/cmex10.ttf	
bigotimes	0x2A02	microtex	BigOp	1	0	3	cmex10	78	base/cmex10.ttf	
bigparallel	0xE012	pua	BigOp	1	0	3	stmary10	134	maths/stmary10.ttf	
bigsqcap	0x2A05	unicode-math	BigOp	1	0	3	stmary10	132	maths/stmary10.ttf	
bigsqcup	0x2A06	microtex	BigOp	1	0	3	cmex10	70	base/cmex10.ttf	
bigstar	0x2605	microtex	Ordinary	0	0	3	msam10	70	maths/msam10.ttf	
bigtriangledown	0x25BD	microtex	BigOp	1	0	3	stmary10	128	maths/stmary10.ttf	
bigtriangleup	0x25B3	unicode-math	BigOp	1	0	3	stmary10	129	maths/stmary10.ttf	
biguplus	0x2A04	microtex	BigOp	1	0	3	cmex10	85	base/cmex10.ttf	
bigvee	0x22C1	microtex	BigOp	1	0	3	cmex10	87	base/cmex10.ttf	
bigwedge	0x22C0	microtex	BigOp	1	0	3	cmex10	86	base/cmex10.ttf	
binampersand	0xE013	pua	Opening	0	0	3	stmary10	110	maths/stmary10.ttf	
bindnasrepma	0xE014	pua	Closing	0	0	3	stmary10	111	maths/stmary10.ttf	
blacklozenge	0x29EB	microtex	Ordinary	0	0	3	msam10	168	maths/msam10.ttf	
blacksquare	0x25AA	microtex	Ordinary	0	0	3	msam10	165	maths/msam10.ttf	
blacktriangle	0x25B4	microtex	Ordinary	0	0	3	msam10	78	maths/msam10.ttf	
blacktriangledown	0x25BE	microtex	Ordinary	0	0	3	msam10	72	maths/msam10.ttf	
blacktriangleleft	0x25C0	microtex	Relation	0	0	3	msam10	74	maths/msam10.ttf	
blacktriangleright	0x25B6	microtex	Relation	0	0	3	msam10	73	maths/msam10.ttf	
bot	0x22A5	microtex	Ordinary	0	0	3	cmsy10	63	maths/cmsy10.ttf	
boxast	0x29C6	unicode-math	BinaryOp	0	0	3	stmary10	56	maths/stmary10.ttf	
boxbar	0x25EB	unicode-math	BinaryOp	0	0	3	stmary10	57	maths/stmary10.ttf	
boxbox	0x29C8	unicode-math	BinaryOp	0	0	3	stmary10	62	maths/stmary10.ttf	
boxbslash	0x29C5	microtex	BinaryOp	0	0	3	stmary10	60	maths/stmary10.ttf	
boxcircle	0x29C7	unicode-math	BinaryOp	0	0	3	stmary10	61	maths/stmary10.ttf	
boxdot	0x22A1	microtex	BinaryOp	0	0	3	stmary10	58	maths/stmary10.ttf	
boxempty	0xE015	pua	BinaryOp	0	0	3	stmary10	63	maths/stmary10.ttf	
boxminus	0x229F	microtex	BinaryOp	0	0	3	msam10	175	maths/msam10.ttf	
boxplus	0x229E	microtex	BinaryOp	0	0	3	msam10	162	maths/msam10.ttf	
boxslash	0x29C4	microtex	BinaryOp	0	0	3	stmary10	59	maths/stmary10.ttf	
boxtimes	0x22A0	microtex	BinaryOp	0	0	3	msam10	163	maths/msam10.ttf	
bracevert	0xE016	pua	Ordinary	0	1	3	cmex10	62	base/cmex10.ttf	
bullet	0x2219	microtex	BinaryOp	0	0	3	cmsy10	178	maths/cmsy10.ttf	0x2022
bumpeq	0x224F	microtex	Relation	0	0	3	msam10	108	maths/msam10.ttf	
cap	0x2229	microtex	BinaryOp	0	0	3	cmsy10	92	maths/cmsy10.ttf	
cdot	0x22C5	microtex	BinaryOp	0	0	3	cmsy10	162	maths/cmsy10.ttf	
cdotp	0x00B7	unicode-math	Punctuation	0	0	3	cmsy10	162	maths/cmsy10.ttf	
centerdot	0xE017	pua	BinaryOp	0	0	3	msam10	166	maths/msam10.ttf	0x00B7
checkmark	0x2713	unicode-math	Ordinary	0	0	3	msam10	88	maths/msam10.ttf	
