# GENERATED by tools/genfont/mksymbols.py -- do not edit.
# Joined from lib/MicroTeX/res (vendored) and unicode-math-table.tex.
# codepoint is StaTeX's lookup key, not a claim about the character's identity;
# cp_source=pua means no Unicode codepoint names this glyph.
# unicode_math is filled in only where unicode-math-table.tex disagrees with the
# chosen codepoint. MicroTeX's tables win because they are what the existing
# atlas was built from; the column records the alternative so switching is a
# one-column edit rather than an archaeology exercise.
name	codepoint	cp_source	atomtype	takes_limits	delimiter	face	tfm_font	slot	ttf	unicode_math
leftrightsquigarrow	0x21AD	microtex	Relation	0	0	3	msam10	33	maths/msam10.ttf	
leftslice	0x2AA6	microtex	BinaryOp	0	0	3	stmary10	82	maths/stmary10.ttf	
leftthreetimes	0x22CB	microtex	BinaryOp	0	0	3	msam10	104	maths/msam10.ttf	
leq	0x2264	microtex	Relation	0	0	3	cmsy10	183	maths/cmsy10.ttf	
leqq	0x2266	microtex	Relation	0	0	3	msam10	53	maths/msam10.ttf	
leqslant	0x2A7D	microtex	Relation	0	0	3	msam10	54	maths/msam10.ttf	
lessapprox	0x2A85	microtex	Relation	0	0	3	msam10	47	maths/msam10.ttf	
lessdot	0x22D6	microtex	BinaryOp	0	0	3	msbm10	108	maths/msbm10.ttf	
lesseqgtr	0x22DA	unicode-math	Relation	0	0	3	msam10	81	maths/msam10.ttf	
lesseqqgtr	0x2A8B	microtex	Relation	0	0	3	msam10	83	maths/msam10.ttf	
lessgtr	0x2276	microtex	Relation	0	0	3	msam10	55	maths/msam10.ttf	
lesssim	0x2272	microtex	Relation	0	0	3	msam10	46	maths/msam10.ttf	
lfloor	0x230A	microtex	Opening	0	1	3	cmsy10	98	maths/cmsy10.ttf	
lgroup	0x27EE	unicode-math	Opening	0	1	3	cmex10	58	base/cmex10.ttf	
lhd	0x22B2	microtex	Relation	0	0	3	msam10	67	maths/msam10.ttf	
lhook	0xE02E	pua	Ordinary	0	0	3	cmmi10_unchanged	44	base/cmmi10.ttf	
lightning	0xE02F	pua	Ordinary	0	0	3	stmary10	64	maths/stmary10.ttf	
ll	0x226A	microtex	Relation	0	0	3	cmsy10	191	maths/cmsy10.ttf	
llbracket	0x27E6	microtex	Opening	0	0	3	stmary10	106	maths/stmary10.ttf	
llceil	0xE030	pua	Opening	0	0	3	stmary10	118	maths/stmary10.ttf	
llcorner	0x231E	microtex	Opening	0	0	3	msam10	120	maths/msam10.ttf	
llfloor	0xE031	pua	Opening	0	0	3	stmary10	116	maths/stmary10.ttf	
lll	0x22D8	unicode-math	Relation	0	0	3	msam10	110	maths/msam10.ttf	
llparenthesis	0x2987	unicode-math	Opening	0	0	3	stmary10	108	maths/stmary10.ttf	
lnapprox	0x2A89	microtex	Relation	0	0	3	msbm10	189	maths/msbm10.ttf	
lneq	0x2A87	microtex	Relation	0	0	3	msbm10	175	maths/msbm10.ttf	
lneqq	0x2268	microtex	Relation	0	0	3	msbm10	169	maths/msbm10.ttf	
lnot	0x00AC	microtex	Ordinary	0	0	3	cmsy10	58	maths/cmsy10.ttf	
lnsim	0x22E6	microtex	Relation	0	0	3	msbm10	181	maths/msbm10.ttf	
looparrowleft	0x21AB	microtex	Relation	0	0	3	msam10	34	maths/msam10.ttf	
looparrowright	0x21AC	microtex	Relation	0	0	3	msam10	35	maths/msam10.ttf	
lor	0x2228	microtex	BinaryOp	0	0	3	cmsy10	95	maths/cmsy10.ttf	
lozenge	0x25CA	microtex	Ordinary	0	0	3	msam10	167	maths/msam10.ttf	
lq	0xE032	pua	Ordinary	0	0	3	cmti10	96	latin/optional/cmti10.ttf	
lrcorner	0x231F	microtex	Closing	0	0	3	msam10	121	maths/msam10.ttf	
lsqbrack	0x005B	microtex	Opening	0	1	3	cmr10	91	latin/cmr10.ttf	
lt	0x003C	microtex	Relation	0	0	3	cmmi10_unchanged	60	base/cmmi10.ttf	
ltimes	0x22C9	microtex	BinaryOp	0	0	3	msbm10	110	maths/msbm10.ttf	
lvertneqq	0xE033	pua	Relation	0	0	3	msbm10	161	maths/msbm10.ttf	
maltese	0x2720	microtex	Ordinary	0	0	3	msam10	122	maths/msam10.ttf	
mapsfromchar	0xE034	pua	Relation	0	0	3	stmary10	123	maths/stmary10.ttf	
mapstochar	0xE035	pua	Relation	0	0	3	cmsy10	55	maths/cmsy10.ttf	
matharobase	0xE036	pua	Ordinary	0	0	3	cmr10	64	latin/cmr10.ttf	
mathcedilla	0xE037	pua	Ordinary	0	0	3	cmti10	187	latin/optional/cmti10.ttf	
mathlapos	0x0060	microtex	Ordinary	0	0	3	cmr10	96	latin/cmr10.ttf	
mathsharp	0x0023	microtex	Ordinary	0	0	3	cmr10	35	latin/cmr10.ttf	
mathsterling	0x00A3	microtex	Ordinary	0	0	3	cmti10_unchanged	36	latin/optional/cmti10.ttf	
measuredangle	0x2221	microtex	Ordinary	0	0	3	msam10	93	maths/msam10.ttf	
merge	0xE038	pua	BinaryOp	0	0	3	stmary10	65	maths/stmary10.ttf	
mho	0x2127	microtex	Ordinary	0	0	3	msbm10	102	maths/msbm10.ttf	
mid	0x2223	microtex	Relation	0	0	3	cmsy10	106	maths/cmsy10.ttf	
minus	0x2212	microtex	BinaryOp	0	0	3	cmsy10	161	maths/cmsy10.ttf	
minuso	0x29B5	microtex	BinaryOp	0	0	3	stmary10	42	maths/stmary10.ttf	
moo	0xE039	pua	BinaryOp	0	0	3	stmary10	46	maths/stmary10.ttf	
mp	0x2213	microtex	BinaryOp	0	0	3	cmsy10	168	maths/cmsy10.ttf	
mu	0x03BC	microtex	Ordinary	0	0	3	cmmi10_unchanged	185	base/cmmi10.ttf	
multimap	0x22B8	microtex	Relation	0	0	3	msam10	40	maths/msam10.ttf	
nLeftarrow	0x21CD	microtex	Relation	0	0	3	msbm10	58	maths/msbm10.ttf	
nLeftrightarrow	0x21CE	microtex	Relation	0	0	3	msbm10	60	maths/msbm10.ttf	
nRightarrow	0x21CF	microtex	Relation	0	0	3	msbm10	59	maths/msbm10.ttf	
nVDash	0x22AF	microtex	Relation	0	0	3	msbm10	51	maths/msbm10.ttf	
nVdash	0x22AE	microtex	Relation	0	0	3	msbm10	49	maths/msbm10.ttf	
nabla	0x2207	microtex	Ordinary	0	0	3	cmsy10	114	maths/cmsy10.ttf	
natural	0x266E	microtex	Ordinary	0	0	3	cmmi10_unchanged	92	base/cmmi10.ttf	
ncong	0x2247	microtex	Relation	0	0	3	msbm10	192	maths/msbm10.ttf	
nearrow	0x2197	microtex	Relation	0	0	3	cmsy10	37	maths/cmsy10.ttf	
neg	0x00AC	unicode-math	Ordinary	0	0	3	cmsy10	58	maths/cmsy10.ttf	
nexists	0x2204	microtex	Ordinary	0	0	3	msbm10	64	maths/msbm10.ttf	
ngeq	0x2271	unicode-math	Relation	0	0	3	msbm10	164	maths/msbm10.ttf	
ngeqq	0xE03A	pua	Relation	0	0	3	msbm10	184	maths/msbm10.ttf	
ngeqslant	0xE03B	pua	Relation	0	0	3	msbm10	174	maths/msbm10.ttf	
ngtr	0x226F	microtex	Relation	0	0	3	msbm10	166	maths/msbm10.ttf	
ni	0x220D	microtex	Relation	0	0	3	cmsy10	51	maths/cmsy10.ttf	0x220B
niplus	0x22FC	microtex	Relation	0	0	3	stmary10	98	maths/stmary10.ttf	
nleftarrow	0x219A	microtex	Relation	0	0	3	msbm10	56	maths/msbm10.ttf	
nleftrightarrow	0x21AE	microtex	Relation	0	0	3	msbm10	61	maths/msbm10.ttf	
nleq	0x2270	unicode-math	Relation	0	0	3	msbm10	163	maths/msbm10.ttf	
nleqq	0xE03C	pua	Relation	0	0	3	msbm10	183	maths/msbm10.ttf	
nleqslant	0xE03D	pua	Relation	0	0	3	msbm10	171	maths/msbm10.ttf	
nless	0x226E	microtex	Relation	0	0	3	msbm10	165	maths/msbm10.ttf	
nmid	0x2224	microtex	Relation	0	0	3	msbm10	45	maths/msbm10.ttf	
nnearrow	0xE03E	pua	Relation	0	0	3	stmary10	81	maths/stmary10.ttf	
nnwarrow	0xE03F	pua	Relation	0	0	3	stmary10	80	maths/stmary10.ttf	
normaldot	0x002E	microtex	Ordinary	0	0	3	cmmi10_unchanged	58	base/cmmi10.ttf	
not	0xE040	pua	Relation	0	0	3	cmsy10	54	maths/cmsy10.ttf	
nparallel	0x2226	unicode-math	Relation	0	0	3	msbm10	44	maths/msbm10.ttf	
nplus	0xE041	pua	BinaryOp	0	0	3	stmary10	99	maths/stmary10.ttf	
nprec	0x2280	microtex	Relation	0	0	3	msbm10	167	maths/msbm10.ttf	
npreceq	0xE042	pua	Relation	0	0	3	msbm10	177	maths/msbm10.ttf	
nrightarrow	0x219B	microtex	Relation	0	0	3	msbm10	57	maths/msbm10.ttf	
nshortmid	0xE043	pua	Relation	0	0	3	msbm10	46	maths/msbm10.ttf	
nshortparallel	0xE044	pua	Relation	0	0	3	msbm10	47	maths/msbm10.ttf	
nsim	0x2241	microtex	Relation	0	0	3	msbm10	191	maths/msbm10.ttf	
nsubseteq	0x2288	microtex	Relation	0	0	3	msbm10	42	maths/msbm10.ttf	
nsubseteqq	0xE045	pua	Relation	0	0	3	msbm10	34	maths/msbm10.ttf	
nsucc	0x2281	microtex	Relation	0	0	3	msbm10	168	maths/msbm10.ttf	
nsucceq	0xE046	pua	Relation	0	0	3	msbm10	178	maths/msbm10.ttf	
nsupseteq	0x2289	microtex	Relation	0	0	3	msbm10	43	maths/msbm10.ttf	
nsupseteqq	0xE047	pua	Relation	0	0	3	msbm10	35	maths/msbm10.ttf	
ntriangleleft	0x22EA	microtex	Relation	0	0	3	msbm10	54	maths/msbm10.ttf	
ntrianglelefteq	0x22EC	microtex	Relation	0	0	3	msbm10	53	maths/msbm10.ttf	
ntrianglelefteqslant	0xE048	pua	Relation	0	0	3	stmary10	114	maths/stmary10.ttf	
ntriangleright	0x22EB	microtex	Relation	0	0	3	msbm10	55	maths/msbm10.ttf	
ntrianglerighteq	0x22ED	microtex	Relation	0	0	3	msbm10	52	maths/msbm10.ttf	
ntrianglerighteqslant	0xE049	pua	Relation	0	0	3	stmary10	115	maths/stmary10.ttf	
nu	0x03BD	microtex	Ordinary	0	0	3	cmmi10_unchanged	186	base/cmmi10.ttf	
nvDash	0x22AD	microtex	Relation	0	0	3	msbm10	50	maths/msbm10.ttf	
nvarparallel	0xE04A	pua	Ordinary	0	0	3	cmsy10	198	maths/cmsy10.ttf	
nvdash	0x22AC	microtex	Relation	0	0	3	msbm10	48	maths/msbm10.ttf	
nwarrow	0x2196	microtex	Relation	0	0	3	cmsy10	45	maths/cmsy10.ttf	
o	0x00F8	microtex	Ordinary	0	0	3	cmti10	191	latin/optional/cmti10.ttf	
obar	0x233D	unicode-math	BinaryOp	0	0	3	stmary10	90	maths/stmary10.ttf	
oblong	0xE04B	pua	BinaryOp	0	0	3	stmary10	96	maths/stmary10.ttf	
obslash	0x29B8	unicode-math	BinaryOp	0	0	3	stmary10	91	maths/stmary10.ttf	
odot	0x2299	microtex	BinaryOp	0	0	3	cmsy10	175	maths/cmsy10.ttf	
oe	0x0153	microtex	Ordinary	0	0	3	cmti10	190	latin/optional/cmti10.ttf	
og	0xE04C	pua	Punctuation	0	0	3	i10	33	latin/i10.ttf	
ogreaterthan	0x29C1	microtex	BinaryOp	0	0	3	stmary10	93	maths/stmary10.ttf	
oint	0x222E	microtex	BigOp	0	0	3	cmex10	72	base/cmex10.ttf	
olessthan	0x29C0	microtex	BinaryOp	0	0	3	stmary10	92	maths/stmary10.ttf	
omega	0x03C9	microtex	Ordinary	0	0	3	cmmi10_unchanged	33	base/cmmi10.ttf	
omicron	0x03BF	microtex	Ordinary	0	0	3	cmmi10_unchanged	111	base/cmmi10.ttf	
ominus	0x2296	microtex	BinaryOp	0	0	3	cmsy10	170	maths/cmsy10.ttf	
oplus	0x2295	microtex	BinaryOp	0	0	3	cmsy10	169	maths/cmsy10.ttf	
oslash	0x2298	microtex	BinaryOp	0	0	3	cmsy10	174	maths/cmsy10.ttf	
otimes	0x2297	microtex	BinaryOp	0	0	3	cmsy10	171	maths/cmsy10.ttf	
ovee	0xE04D	pua	BinaryOp	0	0	3	stmary10	94	maths/stmary10.ttf	
owedge	0xE04E	pua	BinaryOp	0	0	3	stmary10	95	maths/stmary10.ttf	
owns	0x220D	microtex	Relation	0	0	3	cmsy10	51	maths/cmsy10.ttf	
parallel	0x2225	microtex	Relation	0	0	3	cmsy10	107	maths/cmsy10.ttf	
parallelogram	0x25B1	unicode-math	Ordinary	0	0	3	special	70	maths/special.ttf	
partial	0x2202	microtex	Ordinary	0	0	3	cmmi10_unchanged	64	base/cmmi10.ttf	
perp	0x22A5	microtex	Relation	0	0	3	cmsy10	63	maths/cmsy10.ttf	0x27C2
phi	0x03D5	microtex	Ordinary	0	0	3	cmmi10_unchanged	193	base/cmmi10.ttf	
pi	0x03C0	microtex	Ordinary	0	0	3	cmmi10_unchanged	188	base/cmmi10.ttf	
pitchfork	0x22D4	microtex	Relation	0	0	3	msam10	116	maths/msam10.ttf	
plus	0x002B	microtex	BinaryOp	0	0	3	cmr10	43	latin/cmr10.ttf	
pm	0x00B1	microtex	BinaryOp	0	0	3	cmsy10	167	maths/cmsy10.ttf	
polishlcross	0xE04F	pua	Ordinary	0	0	3	cmr10	195	latin/cmr10.ttf	
prec	0x227A	microtex	Relation	0	0	3	cmsy10	193	maths/cmsy10.ttf	
precapprox	0x2AB7	microtex	Relation	0	0	3	msbm10	119	maths/msbm10.ttf	
preccurlyeq	0x227C	microtex	Relation	0	0	3	msam10	52	maths/msam10.ttf	
preceq	0x2AAF	microtex	Relation	0	0	3	cmsy10	185	maths/cmsy10.ttf	
precnapprox	0x2AB9	microtex	Relation	0	0	3	msbm10	187	maths/msbm10.ttf	
precneqq	0x2AB5	microtex	Relation	0	0	3	msbm10	185	maths/msbm10.ttf	
precnsim	0x22E8	microtex	Relation	0	0	3	msbm10	179	maths/msbm10.ttf	
precsim	0x227E	microtex	Relation	0	0	3	msam10	45	maths/msam10.ttf	
prime	0x2032	microtex	Ordinary	0	0	3	cmsy10	48	maths/cmsy10.ttf	
prod	0x220F	microtex	BigOp	1	0	3	cmex10	81	base/cmex10.ttf	
propto	0x221D	microtex	Relation	0	0	3	cmsy10	47	maths/cmsy10.ttf	
psi	0x03C8	microtex	Ordinary	0	0	3	cmmi10_unchanged	195	base/cmmi10.ttf	
question	0x003F	microtex	Ordinary	0	0	3	cmr10	63	latin/cmr10.ttf	
questiondown	0x00BF	microtex	Ordinary	0	0	3	cmr10	62	latin/cmr10.ttf	
racc	0xE050	pua	Ordinary	0	0	3	cmsy10	103	maths/cmsy10.ttf	
rangle	0x232A	microtex	Closing	0	1	3	cmsy10	105	maths/cmsy10.ttf	0x27E9
rbag	0x27C6	unicode-math	BinaryOp	0	0	3	stmary10	75	maths/stmary10.ttf	
rbrace	0x007D	microtex	Closing	0	1	3	cmsy10	103	maths/cmsy10.ttf	
rbrack	0x0029	microtex	Closing	0	1	3	cmr10	41	latin/cmr10.ttf	0x005D
rceil	0x2309	microtex	Closing	0	1	3	cmsy10	101	maths/cmsy10.ttf	
rfloor	0x230B	microtex	Closing	0	1	3	cmsy10	99	maths/cmsy10.ttf	
rgroup	0x27EF	unicode-math	Closing	0	1	3	cmex10	59	base/cmex10.ttf	
rhd	0x22B3	microtex	Relation	0	0	3	msam10	66	maths/msam10.ttf	
rho	0x03C1	microtex	Ordinary	0	0	3	cmmi10_unchanged	189	base/cmmi10.ttf	
rhook	0xE051	pua	Ordinary	0	0	3	cmmi10_unchanged	45	base/cmmi10.ttf	
rightarrow	0x2192	microtex	Relation	0	0	3	cmsy10	33	maths/cmsy10.ttf	
rightarrowtail	0x21A3	microtex	Relation	0	0	3	msam10	189	maths/msam10.ttf	
rightarrowtriangle	0x21FE	unicode-math	Relation	0	0	3	stmary10	127	maths/stmary10.ttf	
rightharpoondown	0x21C1	microtex	Relation	0	0	3	cmmi10_unchanged	43	base/cmmi10.ttf	
rightharpoonup	0x21C0	microtex	Relation	0	0	3	cmmi10_unchanged	42	base/cmmi10.ttf	
rightleftarrows	0x21C4	microtex	Relation	0	0	3	msam10	192	maths/msam10.ttf	
rightleftharpoons	0x21CC	microtex	Relation	0	0	3	msam10	171	maths/msam10.ttf	
rightrightarrows	0x21C9	microtex	Relation	0	0	3	msam10	182	maths/msam10.ttf	
rightslice	0x2AA7	microtex	BinaryOp	0	0	3	stmary10	83	maths/stmary10.ttf	
rightsquigarrow	0x219D	microtex	Relation	0	0	3	msam10	195	maths/msam10.ttf	0x21DD
rightthreetimes	0x22CC	microtex	BinaryOp	0	0	3	msam10	105	maths/msam10.ttf	
risingdotseq	0x2253	microtex	Relation	0	0	3	msam10	58	maths/msam10.ttf	
rq	0xE052	pua	Ordinary	0	0	3	cmti10	39	latin/optional/cmti10.ttf	
rrbracket	0x27E7	microtex	Closing	0	0	3	stmary10	107	maths/stmary10.ttf	
rrceil	0xE053	pua	Closing	0	0	3	stmary10	119	maths/stmary10.ttf	
rrfloor	0xE054	pua	Closing	0	0	3	stmary10	117	maths/stmary10.ttf	
rrparenthesis	0x2988	unicode-math	Closing	0	0	3	stmary10	109	maths/stmary10.ttf	
rsqbrack	0x005D	microtex	Closing	0	1	3	cmr10	93	latin/cmr10.ttf	
rtimes	0x22CA	microtex	BinaryOp	0	0	3	msbm10	111	maths/msbm10.ttf	
searrow	0x2198	microtex	Relation	0	0	3	cmsy10	38	maths/cmsy10.ttf	
semicolon	0x003B	microtex	Punctuation	0	0	3	cmr10	59	latin/cmr10.ttf	
setminus	0x2216	microtex	BinaryOp	0	0	3	cmsy10	110	maths/cmsy10.ttf	
sharp	0x266F	microtex	Ordinary	0	0	3	cmmi10_unchanged	93	base/cmmi10.ttf	
shortdownarrow	0xE055	pua	Relation	0	0	3	stmary10	35	maths/stmary10.ttf	
shortleftarrow	0xE056	pua	Relation	0	0	3	stmary10	32	maths/stmary10.ttf	
shortmid	0xE057	pua	Relation	0	0	3	msbm10	112	maths/msbm10.ttf	
shortparallel	0xE058	pua	Relation	0	0	3	msbm10	113	maths/msbm10.ttf	
shortrightarrow	0xE059	pua	Relation	0	0	3	stmary10	33	maths/stmary10.ttf	
shortuparrow	0xE05A	pua	Relation	0	0	3	stmary10	34	maths/stmary10.ttf	
sigma	0x03C3	microtex	Ordinary	0	0	3	cmmi10_unchanged	190	base/cmmi10.ttf	
sim	0x223C	microtex	Relation	0	0	3	cmsy10	187	maths/cmsy10.ttf	
simeq	0x2243	microtex	Relation	0	0	3	cmsy10	39	maths/cmsy10.ttf	
slash	0x2215	microtex	Ordinary	0	0	3	cmmi10_unchanged	61	base/cmmi10.ttf	
slashdel	0xE05B	pua	Opening	0	1	3	cmr10	47	latin/cmr10.ttf	
smallfrown	0xE05C	pua	Relation	0	0	3	msam10	97	maths/msam10.ttf	
smallint	0xE05D	pua	BigOp	0	0	3	cmsy10	115	maths/cmsy10.ttf	
smallsetminus	0xE05E	pua	BinaryOp	0	0	3	msbm10	114	maths/msbm10.ttf	
smallsmile	0xE05F	pua	Relation	0	0	3	msam10	96	maths/msam10.ttf	
smile	0x2323	unicode-math	Relation	0	0	3	cmmi10_unchanged	94	base/cmmi10.ttf	
spadesuit	0x2660	microtex	Ordinary	0	0	3	cmsy10	196	maths/cmsy10.ttf	
sphericalangle	0x2222	microtex	Ordinary	0	0	3	msam10	94	maths/msam10.ttf	
sqcap	0x2293	microtex	BinaryOp	0	0	3	cmsy10	117	maths/cmsy10.ttf	
sqcup	0x2294	microtex	BinaryOp	0	0	3	cmsy10	116	maths/cmsy10.ttf	
sqsubset	0x228F	microtex	Relation	0	0	3	msam10	64	maths/msam10.ttf	
sqsubseteq	0x2291	microtex	Relation	0	0	3	cmsy10	118	maths/cmsy10.ttf	
sqsupset	0x2290	microtex	Relation	0	0	3	msam10	65	maths/msam10.ttf	
sqsupseteq	0x2292	microtex	Relation	0	0	3	cmsy10	119	maths/cmsy10.ttf	
square	0x25A1	microtex	Ordinary	0	0	3	msam10	164	maths/msam10.ttf	
ss	0x00DF	microtex	Ordinary	0	0	3	cmti10	188	latin/optional/cmti10.ttf	
ssearrow	0xE060	pua	Relation	0	0	3	stmary10	69	maths/stmary10.ttf	
sslash	0x2AFD	unicode-math	BinaryOp	0	0	3	stmary10	44	maths/stmary10.ttf	
sswarrow	0xE061	pua	Relation	0	0	3	stmary10	68	maths/stmary10.ttf	
star	0x22C6	microtex	BinaryOp	0	0	3	cmmi10_unchanged	63	base/cmmi10.ttf	
subset	0x2282	microtex	Relation	0	0	3	cmsy10	189	maths/cmsy10.ttf	
subseteq	0x2286	microtex	Relation	0	0	3	cmsy10	181	maths/cmsy10.ttf	
subseteqq	0x2AC5	microtex	Relation	0	0	3	msam10	106	maths/msam10.ttf	
subsetneq	0x228A	microtex	Relation	0	0	3	msbm10	40	maths/msbm10.ttf	
subsetneqq	0x2ACB	microtex	Relation	0	0	3	msbm10	36	maths/msbm10.ttf	
subsetplus	0x2ABF	unicode-math	Relation	0	0	3	stmary10	100	maths/stmary10.ttf	
subsetpluseq	0xE062	pua	Relation	0	0	3	stmary10	102	maths/stmary10.ttf	
succ	0x227B	microtex	Relation	0	0	3	cmsy10	194	maths/cmsy10.ttf	
succapprox	0x2AB8	microtex	Relation	0	0	3	msbm10	118	maths/msbm10.ttf	
succcurlyeq	0x227D	microtex	Relation	0	0	3	msam10	60	maths/msam10.ttf	
succeq	0x2AB0	microtex	Relation	0	0	3	cmsy10	186	maths/cmsy10.ttf	
succnapprox	0x2ABA	microtex	Relation	0	0	3	msbm10	188	maths/msbm10.ttf	
succneqq	0x2AB6	microtex	Relation	0	0	3	msbm10	186	maths/msbm10.ttf	
succnsim	0x22E9	microtex	Relation	0	0	3	msbm10	180	maths/msbm10.ttf	
succsim	0x227F	microtex	Relation	0	0	3	msam10	37	maths/msam10.ttf	
sum	0x2211	microtex	BigOp	1	0	3	cmex10	80	base/cmex10.ttf	
supset	0x2283	microtex	Relation	0	0	3	cmsy10	190	maths/cmsy10.ttf	
supseteq	0x2287	microtex	Relation	0	0	3	cmsy10	182	maths/cmsy10.ttf	
supseteqq	0x2AC6	microtex	Relation	0	0	3	msam10	107	maths/msam10.ttf	
supsetneq	0x228B	microtex	Relation	0	0	3	msbm10	41	maths/msbm10.ttf	
supsetneqq	0x2ACC	microtex	Relation	0	0	3	msbm10	37	maths/msbm10.ttf	
supsetplus	0x2AC0	unicode-math	Relation	0	0	3	stmary10	101	maths/stmary10.ttf	
supsetpluseq	0xE063	pua	Relation	0	0	3	stmary10	103	maths/stmary10.ttf	
surdsign	0xE064	pua	Ordinary	0	0	3	cmsy10	112	maths/cmsy10.ttf	
swarrow	0x2199	microtex	Relation	0	0	3	cmsy10	46	maths/cmsy10.ttf	
talloblong	0x2AFE	unicode-math	BinaryOp	0	0	3	stmary10	88	maths/stmary10.ttf	
tau	0x03C4	microtex	Ordinary	0	0	3	cmmi10_unchanged	191	base/cmmi10.ttf	
textampersand	0xE065	pua	Ordinary	0	0	3	cmr10	38	latin/cmr10.ttf	
textapos	0x2019	microtex	Ordinary	0	0	3	cmr10	39	latin/cmr10.ttf	
textdbend	0xE066	pua	Ordinary	0	0	3	r10_unchanged	126	latin/r10.ttf	
textdollar	0xE067	pua	Ordinary	0	0	3	cmr10	36	latin/cmr10.ttf	
textemdash	0x2014	microtex	Ordinary	0	0	3	cmr10	124	latin/cmr10.ttf	
textendash	0x2013	microtex	Ordinary	0	0	3	cmr10	123	latin/cmr10.ttf	
texteuro	0xE068	pua	Ordinary	0	0	3	special	101	maths/special.ttf	
textfractionsolidus	0x002F	microtex	Ordinary	0	0	3	cmr10	47	latin/cmr10.ttf	
textminus	0x2010	microtex	Ordinary	0	0	3	cmr10	45	latin/cmr10.ttf	
textnormaldot	0x002E	microtex	Punctuation	0	0	3	cmmi10_unchanged	58	base/cmmi10.ttf	
textpercent	0xE069	pua	Ordinary	0	0	3	cmr10	37	latin/cmr10.ttf	
textpertenthousand	0x2031	microtex	Ordinary	0	0	3	r10	38	latin/r10.ttf	
textperthousand	0x2030	microtex	Ordinary	0	0	3	r10	37	latin/r10.ttf	
textregistered	0x00AE	microtex	Ordinary	0	0	3	msam10	114	maths/msam10.ttf	
therefore	0x2234	microtex	Relation	0	0	3	msam10	41	maths/msam10.ttf	
theta	0x03B8	microtex	Ordinary	0	0	3	cmmi10_unchanged	181	base/cmmi10.ttf	
thickapprox	0xE06A	pua	Relation	0	0	3	msbm10	116	maths/msbm10.ttf	
thicksim	0xE06B	pua	Relation	0	0	3	msbm10	115	maths/msbm10.ttf	
times	0x00D7	microtex	BinaryOp	0	0	3	cmsy10	163	maths/cmsy10.ttf	
to	0x2192	microtex	Relation	0	0	3	cmsy10	33	maths/cmsy10.ttf	
top	0x22A4	microtex	Ordinary	0	0	3	cmsy10	62	maths/cmsy10.ttf	
triangle	0x25B5	microtex	Ordinary	0	0	3	cmsy10	52	maths/cmsy10.ttf	
triangledown	0x25BF	microtex	Ordinary	0	0	3	msam10	79	maths/msam10.ttf	
triangleleft	0x25C1	microtex	BinaryOp	0	0	3	cmmi10_unchanged	47	base/cmmi10.ttf	
trianglelefteq	0x22B4	microtex	Relation	0	0	3	msam10	69	maths/msam10.ttf	
trianglelefteqslant	0xE06C	pua	Relation	0	0	3	stmary10	112	maths/stmary10.ttf	
triangleq	0x225C	microtex	Relation	0	0	3	msam10	44	maths/msam10.ttf	
triangleright	0x25B7	microtex	BinaryOp	0	0	3	cmmi10_unchanged	46	base/cmmi10.ttf	
trianglerighteq	0x22B5	microtex	Relation	0	0	3	msam10	68	maths/msam10.ttf	
trianglerighteqslant	0xE06D	pua	Relation	0	0	3	stmary10	113	maths/stmary10.ttf	
twoheadleftarrow	0x219E	microtex	Relation	0	0	3	msam10	180	maths/msam10.ttf	
twoheadrightarrow	0x21A0	microtex	Relation	0	0	3	msam10	179	maths/msam10.ttf	
ulcorner	0x231C	microtex	Opening	0	0	3	msam10	112	maths/msam10.ttf	
unlhd	0xE06E	pua	Relation	0	0	3	msam10	69	maths/msam10.ttf	
unrhd	0xE06F	pua	Relation	0	0	3	msam10	68	maths/msam10.ttf	
uparrow	0x2191	microtex	Relation	0	1	3	cmsy10	34	maths/cmsy10.ttf	
updownarrow	0x2195	microtex	Relation	0	1	3	cmsy10	108	maths/cmsy10.ttf	
upharpoonleft	0x21BF	microtex	Relation	0	0	3	msam10	187	maths/msam10.ttf	
upharpoonright	0x21BE	microtex	Relation	0	0	3	msam10	185	maths/msam10.ttf	
uplus	0x228E	microtex	BinaryOp	0	0	3	cmsy10	93	maths/cmsy10.ttf	
upsilon	0x03C5	microtex	Ordinary	0	0	3	cmmi10_unchanged	192	base/cmmi10.ttf	
upuparrows	0x21C8	microtex	Relation	0	0	3	msam10	183	maths/msam10.ttf	
urcorner	0x231D	microtex	Closing	0	0	3	msam10	113	maths/msam10.ttf	
vDash	0x22A8	microtex	Relation	0	0	3	msam10	178	maths/msam10.ttf	
varDelta	0xE070	pua	Ordinary	0	0	3	cmmi10	162	base/cmmi10.ttf	
varGamma	0xE071	pua	Ordinary	0	0	3	cmmi10	161	base/cmmi10.ttf	
varLambda	0xE072	pua	Ordinary	0	0	3	cmmi10	164	base/cmmi10.ttf	
varOmega	0xE073	pua	Ordinary	0	0	3	cmmi10	171	base/cmmi10.ttf	
varPhi	0xE074	pua	Ordinary	0	0	3	cmmi10	169	base/cmmi10.ttf	
varPi	0xE075	pua	Ordinary	0	0	3	cmmi10	166	base/cmmi10.ttf	
varPsi	0xE076	pua	Ordinary	0	0	3	cmmi10	170	base/cmmi10.ttf	
varSigma	0xE077	pua	Ordinary	0	0	3	cmmi10	167	base/cmmi10.ttf	
